rank_band,score,floor_id,role,label,sources,created_in_code,registered_family,seen_telegram,in_db,tg_count,tg_first_seen,db_fired,db_with_outcome,db_wins,db_g0,db_first_fired,tg_example,notes
PENTHOUSE,8278.639,FIRE_SOLO_ELITE_ENTER,FIRE,FIRE SOLO ELITE,CODE|DB|REGISTERED|TELEGRAM,True,True,True,True,11228,2026-03-19 21:55:33,1058,1058,832,1041,2026-03-19 21:55:33,💎 SOLO ELITE SIGNAL 💎,era 1; code:skin_census.py; template_hint:skin_census.py; code:skin_families.py; template_hint:skin_families.py; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; template_hint:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:hub_dispatch.py; template_hint:timing_presence_catalog.json; template_hint:museum_chrono_all_pairs.json; template_hint:museum_first5_fire_result.json; code:test_skin_census.py; template_hint:test_skin_census.py; code:test_telegram_skin_families.py; template_hint:test_telegram_skin_families.py; code:test_skin_gate.py; template_hint:test_skin_gate.py; db_kind=SOLO_ELITE
PENTHOUSE,8239.219,SIGNAL_KIND_SOLO_ELITE,FIRE,SIGNAL_KIND_SOLO_ELITE,CODE|DB,True,False,False,True,0,,1058,1058,832,1041,2026-03-19 21:55:33,,code:skin_census.py; code:skin_families.py; code:PROFITABLE_CARD_TYPES.md; code:REPLIT_TELEGRAM_FIRE.sh; code:REPLIT_MULTI_FLOOR.sh; code:CARD_TEMPLATE_TAXONOMY.md; code:REPLIT_ID_GAP_AND_MAR17.sh; code:REPLIT_SIGNAL_TAXONOMY_TREE.sh; code:TEMPLATE_CENSUS.md; code:REPLIT_FORCE_ALIASES.py; code:TELEGRAM_CARD_ERAS.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:BLUEPRINT_MAX_PROFIT.md; code:REPLIT_SIGNAL_TYPE_CENSUS.sh; code:REPLIT_PEAK_LOCK_APPLY.sh; code:LUXURY_BUILDING_DECISIONS.md; code:REPLIT_PEAK_PURE.sh; code:COUNTDOWN_START_AXIS.md; code:REPLIT_DO_EVERYTHING.sh; code:window_packer.py; code:omni_score.py; code:luxury_building_stack.py; code:dual_lane_router.py; code:hub_dispatch.py; code:hub_max_boot.py; code:fire_origin.py; code:skyscraper_stack_report.json; code:zero_miss_report.json; code:timing_presence_catalog.json; code:profit_organism_report.json; code:museum_chrono_all_pairs.json; code:g0_offset_oracle_report.json; code:early_result_audit.json; code:luxury_building_stack.json; code:historical_luxury_seed.json; code:edge_whitelist_engine.json; code:g0_secs_round_offset_report.json; code:omni_score_report.json; code:early_source_audit.json; code:elite_stack_audit.json; code:tri_brain_report.json; code:martingale_audit.json; code:museum_first5_fire_result.json; code:luxury_live_floors.json; code:skyscraper_floor_factory_report.json; code:vault_patterns.json; code:test_telegram_skin_families.py; code:test_skin_gate.py; db_kind=SOLO_ELITE
UPPER,3619.529,FIRE_SEQUENCE_ENTER,FIRE,FIRE SEQUENCE ENTER NOW,CODE|DB|REGISTERED|TELEGRAM,True,True,True,True,109,2026-03-20 00:45:09,560,560,414,500,2026-03-19 22:54:09,📊 SEQUENCE SIGNAL — ENTER NOW 📊,era 1; code:skin_census.py; code:skin_families.py; template_hint:skin_families.py; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; template_hint:museum_chrono_all_pairs.json; db_kind=SEQUENCE
UPPER,3619.529,SIGNAL_KIND_SEQUENCE,FIRE,SIGNAL_KIND_SEQUENCE,CODE|DB,True,False,False,True,0,,560,560,414,500,2026-03-19 22:54:09,,code:skin_census.py; code:skin_families.py; code:PROFITABLE_CARD_TYPES.md; code:REPLIT_WATCH_FLOOR.sh; code:REPLIT_TELEGRAM_FIRE.sh; code:REPLIT_MULTI_FLOOR.sh; code:FINAL_LUXURY_BUILDING_PLAN.md; code:LUXURY_GOAL.md; code:REPLIT_FINISH.sh; code:CARD_TEMPLATE_TAXONOMY.md; code:REPLIT_FIX_DB_LOCKED_V2.sh; code:REPLIT_SIGNAL_TAXONOMY_TREE.sh; code:AGENT_MEMORY_CAPTURED.md; code:REPLIT_FIRE_AGAIN.sh; code:TEMPLATE_CENSUS.md; code:REPLIT_FORCE_ALIASES.py; code:TELEGRAM_CARD_ERAS.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:BLUEPRINT_MAX_PROFIT.md; code:REPLIT_FIRST_MR_IV4.sh; code:REPLIT_WIRE_TOWERS.sh; code:REPLIT_SIGNAL_TYPE_CENSUS.sh; code:REPLIT_PEAK_LOCK_APPLY.sh; code:README_ELITE_STACK_PATCH.md; code:LUXURY_BUILDING_DECISIONS.md; code:REPLIT_PEAK_PURE.sh; code:COUNTDOWN_START_AXIS.md; code:REPLIT_DO_EVERYTHING.sh; code:timing_presence_catalog.py; code:edge_whitelist_engine.py; code:g0_offset_oracle.py; code:window_packer.py; code:elite_stack_audit.py; code:luxury_building_stack.py; code:dual_lane_router.py; code:hub_dispatch.py; code:hub_max_boot.py; code:fire_origin.py; code:skyscraper_stack_report.json; code:hub_max_status.json; code:timing_presence_catalog.json; code:profit_organism_report.json; code:museum_chrono_all_pairs.json; code:g0_offset_oracle_report.json; code:early_result_audit.json; code:luxury_building_stack.json; code:historical_luxury_seed.json; code:edge_whitelist_engine.json; code:g0_secs_round_offset_report.json; code:omni_score_report.json; code:early_source_audit.json; code:elite_stack_audit.json; code:tri_brain_report.json; code:martingale_audit.json; code:luxury_live_floors.json; code:skyscraper_floor_factory_report.json; code:vault_patterns.json; code:test_telegram_skin_families.py; code:test_skin_gate.py; db_kind=SEQUENCE
UPPER,2438.042,FIRE_GOLDEN_ENTER,FIRE,FIRE GOLDEN ENTER NOW,CODE|DB|REGISTERED|TELEGRAM,True,True,True,True,2964,2026-03-19 22:57:45,338,338,265,306,2026-03-19 22:57:45,🏆 GOLDEN SIGNAL — ENTER NOW 🏆,era 1; code:skin_census.py; code:skin_families.py; template_hint:skin_families.py; template_hint:CARD_TEMPLATE_TAXONOMY.md; template_hint:MEGA_PROMPT_DUAL_LANE_COPY.md; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; template_hint:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:dual_lane_router.py; template_hint:hub_dispatch.py; template_hint:museum_chrono_all_pairs.json; template_hint:museum_first5_fire_result.json; code:test_skin_gate.py; template_hint:test_skin_gate.py; db_kind=GOLDEN
UPPER,2411.782,SIGNAL_KIND_GOLDEN,FIRE,SIGNAL_KIND_GOLDEN,CODE|DB,True,False,False,True,0,,338,338,265,306,2026-03-19 22:57:45,,code:skin_census.py; code:skin_families.py; code:PROFITABLE_CARD_TYPES.md; code:REPLIT_MULTI_FLOOR.sh; code:FINAL_LUXURY_BUILDING_PLAN.md; code:LUXURY_GOAL.md; code:REPLIT_FINISH.sh; code:CARD_TEMPLATE_TAXONOMY.md; code:MEGA_PROMPT_DUAL_LANE_COPY.md; code:REPLIT_ID_GAP_AND_MAR17.sh; code:REPLIT_SIGNAL_TAXONOMY_TREE.sh; code:AGENT_MEMORY_CAPTURED.md; code:TEMPLATE_CENSUS.md; code:REPLIT_FORCE_ALIASES.py; code:TELEGRAM_CARD_ERAS.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:BLUEPRINT_MAX_PROFIT.md; code:REPLIT_FIRST_MR_IV4.sh; code:REPLIT_FLOOR_MAX.sh; code:REPLIT_SIGNAL_TYPE_CENSUS.sh; code:REPLIT_PEAK_LOCK_APPLY.sh; code:LUXURY_BUILDING_DECISIONS.md; code:REPLIT_PEAK_PURE.sh; code:COUNTDOWN_START_AXIS.md; code:REPLIT_DO_EVERYTHING.sh; code:timing_presence_catalog.py; code:window_packer.py; code:hub_engine_route.py; code:luxury_building_stack.py; code:dual_lane_router.py; code:hub_dispatch.py; code:hub_max_boot.py; code:fire_origin.py; code:skyscraper_stack_report.json; code:zero_miss_report.json; code:hub_max_status.json; code:timing_presence_catalog.json; code:profit_organism_report.json; code:museum_chrono_all_pairs.json; code:g0_offset_oracle_report.json; code:early_result_audit.json; code:luxury_building_stack.json; code:historical_luxury_seed.json; code:edge_whitelist_engine.json; code:g0_secs_round_offset_report.json; code:omni_score_report.json; code:early_source_audit.json; code:elite_stack_audit.json; code:tri_brain_report.json; code:martingale_audit.json; code:museum_first5_fire_result.json; code:luxury_live_floors.json; code:skyscraper_floor_factory_report.json; code:vault_patterns.json; code:test_telegram_skin_families.py; code:test_skin_gate.py; db_kind=GOLDEN
UPPER,1389.753,FIRE_PLATINUM_ENTER,FIRE,FIRE PLATINUM,CODE|DB|REGISTERED|TELEGRAM,True,True,True,True,1377,2026-03-20 21:29:53,229,229,174,185,2026-03-20 21:29:53,💠 PLATINUM SIGNAL — PAR DE OURO,era 1; code:skin_census.py; template_hint:skin_census.py; code:skin_families.py; template_hint:skin_families.py; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; template_hint:museum_chrono_all_pairs.json; db_kind=PLATINUM
UPPER,1378.273,SIGNAL_KIND_PLATINUM,FIRE,SIGNAL_KIND_PLATINUM,CODE|DB,True,False,False,True,0,,229,229,174,185,2026-03-20 21:29:53,,code:skin_census.py; code:skin_families.py; code:PROFITABLE_CARD_TYPES.md; code:REPLIT_TELEGRAM_FIRE.sh; code:REPLIT_MULTI_FLOOR.sh; code:FINAL_LUXURY_BUILDING_PLAN.md; code:CARD_TEMPLATE_TAXONOMY.md; code:REPLIT_SIGNAL_TAXONOMY_TREE.sh; code:TEMPLATE_CENSUS.md; code:REPLIT_FORCE_ALIASES.py; code:TELEGRAM_CARD_ERAS.md; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:BLUEPRINT_MAX_PROFIT.md; code:REPLIT_FIRST_MR_IV4.sh; code:REPLIT_SIGNAL_TYPE_CENSUS.sh; code:REPLIT_PEAK_LOCK_APPLY.sh; code:LUXURY_BUILDING_DECISIONS.md; code:REPLIT_PEAK_PURE.sh; code:REPLIT_DO_EVERYTHING.sh; code:timing_presence_catalog.py; code:window_packer.py; code:hub_engine_route.py; code:luxury_building_stack.py; code:dual_lane_router.py; code:hub_dispatch.py; code:fire_origin.py; code:skyscraper_stack_report.json; code:zero_miss_report.json; code:timing_presence_catalog.json; code:early_result_audit.json; code:luxury_building_stack.json; code:historical_luxury_seed.json; code:edge_whitelist_engine.json; code:g0_secs_round_offset_report.json; code:early_source_audit.json; code:elite_stack_audit.json; code:tri_brain_report.json; code:martingale_audit.json; code:luxury_live_floors.json; code:skyscraper_floor_factory_report.json; code:vault_patterns.json; db_kind=PLATINUM
UPPER,50.0,FIRE_SOLO_ELITE_SIGNAL,FIRE,FIRE_SOLO_ELITE_SIGNAL,CODE|TELEGRAM_NAMED,True,False,True,False,11228,2026-03-19 21:55:33,0,0,0,0,,💎 SOLO ELITE SIGNAL 💎,code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; code:test_skin_census.py; raw_named→FIRE_SOLO_ELITE_ENTER
UPPER,50.0,RESULT_WIN_TIER,RESULT,RESULT WIN — kind,CODE|REGISTERED|TELEGRAM,True,True,True,False,10904,2026-03-19 23:52:41,0,0,0,0,,✅ WIN — SOLO_ELITE,era 1b; code:skin_census.py; code:skin_families.py; template_hint:skin_families.py; template_hint:CARD_TEMPLATE_TAXONOMY.md; template_hint:REPLIT_SIGNAL_TAXONOMY_TREE.sh; template_hint:TEMPLATE_CENSUS.md; code:TELEGRAM_CARD_ERAS.md; template_hint:TELEGRAM_CARD_ERAS.md; template_hint:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; template_hint:COUNTDOWN_START_AXIS.md; template_hint:dual_lane_router.py
