family_id,role,label,era,default_lane,default_scope,observed_template_count,historical_tg_count,has_historical_result_pair,triage,decision,shelf,paired_result_family,review_note,observed_template_ids
ONLINE_BANNER,ONLINE,ONLINE banner,0,,MUSEUM_OR_OPS_ONLY,1,3533,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,ONLINE__d9e9fb9e227f
FIRE_EMERGINDO,FIRE,FIRE EMERGINDO (forming color),0,MONEY,CANDIDATE_LIVE_FIRE,1,0,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE_EMERGINDO
OPS_ALERTA_FORMACAO,OPS,OPS ALERTA formação,0,,MUSEUM_OR_OPS_ONLY,1,0,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,OPS_ALERTA_FORMACAO
FIRE_CONFIRMED_ENTER,FIRE,FIRE confirmed ENTER NOW,1,MONEY,CANDIDATE_LIVE_FIRE,1,13,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__f8176929df90
FIRE_SOLO_ELITE_ENTER,FIRE,FIRE SOLO ELITE,1,MONEY,CANDIDATE_LIVE_FIRE,1,11228,True,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__1bc98bfe92f5
FIRE_GOLDEN_ENTER,FIRE,FIRE GOLDEN ENTER NOW,1,MONEY,CANDIDATE_LIVE_FIRE,1,2964,True,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__28fcc45f0d48
FIRE_SEQUENCE_ENTER,FIRE,FIRE SEQUENCE ENTER NOW,1,MONEY,CANDIDATE_LIVE_FIRE,1,109,True,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__704f4f1d66e0
FIRE_PLATINUM_ENTER,FIRE,FIRE PLATINUM,1,MONEY,CANDIDATE_LIVE_FIRE,1,1377,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__6aa6422db701
RESULT_AUTO_TIE,RESULT,RESULT AUTO TIE banner,1b,,CANDIDATE_RESULT_PAIR,2,1295,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,RESULT__c8aaad676f85;RESULT__374be32ecf3c
RESULT_WIN_TIER,RESULT,RESULT WIN — kind,1b,,CANDIDATE_RESULT_PAIR,8,10904,False,"{""KEEP"": 8}",PENDING_REVIEW,,,,RESULT__4df1c26e3a94;RESULT__90975b735ef3;RESULT__4af1be1223b5;RESULT__44032f82ec5b;RESULT__9d8b7e96e354;RESULT__260e78148d63;RESULT__e2d8369d7510;RESULT__93fe56ca2b7c
RESULT_LOSS_TIER,RESULT,RESULT LOSS — kind,1b,,CANDIDATE_RESULT_PAIR,7,2961,False,"{""KEEP"": 7}",PENDING_REVIEW,,,,RESULT__ea8d934011aa;RESULT__aa350169324f;RESULT__525e0b14b445;RESULT__af35e3ffc0af;RESULT__0de555cff5df;RESULT__86eb9b3c30d6;RESULT__3d50278a985c
FIRE_GALE_ENTRE_NOVAMENTE,FIRE,FIRE gale Entre novamente,1b,MONEY,CANDIDATE_LIVE_FIRE,2,402,False,"{""KEEP"": 2}",PENDING_REVIEW,,,,UNKNOWN__9d8fd7f8e45b;UNKNOWN__cad4bacda090
RESULT_EMPATE,RESULT,RESULT EMPATE — kind,1b,,CANDIDATE_RESULT_PAIR,7,675,False,"{""KEEP"": 7}",PENDING_REVIEW,,,,RESULT__25c56ccac14b;RESULT__1d9e92a9e895;RESULT__970cf30b971c;RESULT__ee2ce39ea640;RESULT__790b66cbd292;RESULT__08a205963222;RESULT__c66710341bbb
FIRE_GALE_RETENTATIVA,FIRE,FIRE gale RETENTATIVA,1b,MONEY,CANDIDATE_LIVE_FIRE,1,1248,True,"{""KEEP"": 1}",PENDING_REVIEW,,,,FIRE__5213ac8ea21e
RESULT_GREEN_LEGACY_G0,RESULT,RESULT GREEN legacy G0,1b,,CANDIDATE_RESULT_PAIR,1,518,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__d35c3442c57a
RESULT_GREEN_LEGACY_G1,RESULT,RESULT GREEN legacy G1,1b,,CANDIDATE_RESULT_PAIR,1,141,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,UNKNOWN__234f01baff90
OPS_LOSS_COOLDOWN,OPS,OPS loss cooldown,2,,MUSEUM_OR_OPS_ONLY,2,4314,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__18e5bbc6ae06;UNKNOWN__33b28fc82382
OPS_PREALERT_FORMING,OPS,PREALERT forming,2,,MUSEUM_OR_OPS_ONLY,2,261,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__a74ac483ae08;RESULT__a74ac483ae08
OPS_DUPLO_ELITE,OPS,OPS duplo elite,2,,MUSEUM_OR_OPS_ONLY,1,329,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__eea647b04efb
FIRE_JANELA_TIMED,FIRE,TIMED JANELA (any N),2,COUNTDOWN,CANDIDATE_LIVE_FIRE,3,747,False,"{""KEEP"": 3}",PENDING_REVIEW,,,,UNKNOWN__15efeeab0fea;UNKNOWN__b26b2386fe78;UNKNOWN__87cbc07742fe
FIRE_ULTRA_TIE,FIRE,FIRE ULTRA TIE,2,MONEY,CANDIDATE_LIVE_FIRE,1,6,False,"{""KEEP"": 1}",PENDING_REVIEW,,,,RESULT__d8e591e8e264
OPS_TRIPLE_LOCK,OPS,OPS triple lock,2,,MUSEUM_OR_OPS_ONLY,2,242,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__9e60f6b4c10b;UNKNOWN__d51e0e25a56f
OPS_SEQ_QUENTE,OPS,OPS sequência quente,3,,MUSEUM_OR_OPS_ONLY,2,1763,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__901ae899252c;UNKNOWN__0ae91f388b18
OPS_SEQ_FRIA,OPS,OPS sequência fria,3,,MUSEUM_OR_OPS_ONLY,2,947,False,"{""KEEP"": 2}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__6364f4e1b17e;UNKNOWN__4219d0466539
OPS_SEQ_EMPATES,OPS,OPS sequência empates,3,,MUSEUM_OR_OPS_ONLY,1,3945,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,RESULT__b4c1272f8620
RESULT_TIMED_WINDOW,RESULT,RESULT timed ~Ns window,3,,CANDIDATE_RESULT_PAIR,3,638,False,"{""KEEP"": 3}",PENDING_REVIEW,,,,RESULT__14f45eb885be;RESULT__9944f1b9f64a;FIRE__9944f1b9f64a
OPS_PREALERT_3BOLT,OPS,PREALERT 3-bolt,3,,MUSEUM_OR_OPS_ONLY,1,6828,False,"{""KEEP"": 1}",NOT_A_MONEY_FAMILY,,,,UNKNOWN__5b507cd41dab
